net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
FMC_CLK0_M2C_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK0_M2C_N,PAIR:FMC_CLK0_M2C_N/FMC_CLK0_M2C_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_CLK1_M2C_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK1_M2C_P,PAIR:FMC_CLK1_M2C_N/FMC_CLK1_M2C_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_CLK1_M2C_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK1_M2C_N,PAIR:FMC_CLK1_M2C_N/FMC_CLK1_M2C_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA00_CC_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA00_CC_P,PAIR:FMC_LA00_CC_N/FMC_LA00_CC_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA00_CC_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA00_CC_N,PAIR:FMC_LA00_CC_N/FMC_LA00_CC_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA01_CC_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA01_CC_P,PAIR:FMC_LA01_CC_N/FMC_LA01_CC_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA01_CC_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA01_CC_N,PAIR:FMC_LA01_CC_N/FMC_LA01_CC_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA02_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA02_P,PAIR:FMC_LA02_N/FMC_LA02_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA02_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA02_N,PAIR:FMC_LA02_N/FMC_LA02_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA03_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA03_P,PAIR:FMC_LA03_N/FMC_LA03_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA03_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA03_N,PAIR:FMC_LA03_N/FMC_LA03_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA04_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA04_P,PAIR:FMC_LA04_N/FMC_LA04_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA04_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA04_N,PAIR:FMC_LA04_N/FMC_LA04_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA05_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA05_P,PAIR:FMC_LA05_N/FMC_LA05_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA05_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA05_N,PAIR:FMC_LA05_N/FMC_LA05_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
